,Year,WinTeam,LoseTeam,Win
745,2013,Temple,North Carolina St.,0
746,2013,Arizona,Harvard,1
747,2013,Louisville,Colorado St.,1
748,2013,Marquette,Butler,1
749,2013,Michigan,VCU,1
750,2013,Michigan St.,Memphis,1
751,2013,Oregon,Saint Louis,0
752,2013,Syracuse,California,1
753,2013,Wichita St.,Gonzaga,0
754,2013,Duke,Creighton,1
755,2013,Florida Gulf Coast,San Diego St.,0
756,2013,Florida,Minnesota,1
757,2013,Indiana,Temple,1
758,2013,Kansas,North Carolina,1
759,2013,La Salle,Mississippi,0
760,2013,Miami FL,Illinois,1
761,2013,Ohio St.,Iowa St.,1
762,2013,Marquette,Miami FL,0
763,2013,Ohio St.,Arizona,1
764,2013,Syracuse,Indiana,0
765,2013,Wichita St.,La Salle,1
766,2013,Duke,Michigan St.,1
767,2013,Florida,Florida Gulf Coast,1
768,2013,Louisville,Oregon,1
769,2013,Michigan,Kansas,0
770,2013,Syracuse,Marquette,0
771,2013,Wichita St.,Ohio St.,0
772,2013,Louisville,Duke,1
773,2013,Michigan,Florida,0
774,2013,Louisville,Wichita St.,1
775,2013,Michigan,Syracuse,1
776,2013,Louisville,Michigan,1
777,2014,Albany,Mount St. Mary's,1
778,2014,North Carolina St.,Xavier,0
779,2014,Cal Poly,Texas Southern,1
780,2014,Tennessee,Iowa,1
781,2014,Connecticut,Saint Joseph's,1
782,2014,Dayton,Ohio St.,0
783,2014,Florida,Albany,1
784,2014,Harvard,Cincinnati,0
785,2014,Louisville,Manhattan,1
786,2014,Michigan,Wofford,1
787,2014,Michigan St.,Delaware,1
788,2014,North Dakota St.,Oklahoma,0
789,2014,Oregon,BYU,1
790,2014,Pittsburgh,Colorado,0
791,2014,San Diego St.,New Mexico St.,1
792,2014,Saint Louis,North Carolina St.,1
793,2014,Syracuse,Western Michigan,1
794,2014,Texas,Arizona St.,1
795,2014,Villanova,Milwaukee,1
796,2014,Wisconsin,American,1
797,2014,Arizona,Weber St.,1
798,2014,Baylor,Nebraska,1
799,2014,Creighton,Louisiana Lafayette,1
800,2014,Gonzaga,Oklahoma St.,1
801,2014,Iowa St.,North Carolina Central,1
802,2014,Kansas,Eastern Kentucky,1
803,2014,Kentucky,Kansas St.,1
804,2014,Memphis,George Washington,1
805,2014,Mercer,Duke,0
806,2014,North Carolina,Providence,1
807,2014,Stephen F. Austin,VCU,0
808,2014,Stanford,New Mexico,0
809,2014,Tennessee,Massachusetts,0
810,2014,UCLA,Tulsa,1
811,2014,Virginia,Coastal Carolina,1
812,2014,Wichita St.,Cal Poly,1
813,2014,Connecticut,Villanova,0
814,2014,Dayton,Syracuse,0
815,2014,Florida,Pittsburgh,1
816,2014,Louisville,Saint Louis,1
817,2014,Michigan,Texas,1
818,2014,Michigan St.,Harvard,1
819,2014,San Diego St.,North Dakota St.,1
820,2014,Wisconsin,Oregon,1
821,2014,Arizona,Gonzaga,1
822,2014,Baylor,Creighton,0
823,2014,Iowa St.,North Carolina,1
824,2014,Kentucky,Wichita St.,0
825,2014,Stanford,Kansas,0
826,2014,Tennessee,Mercer,1
827,2014,UCLA,Stephen F. Austin,1
828,2014,Virginia,Memphis,1
829,2014,Arizona,San Diego St.,1
830,2014,Dayton,Stanford,0
831,2014,Florida,UCLA,1
832,2014,Wisconsin,Baylor,1
833,2014,Connecticut,Iowa St.,0
834,2014,Kentucky,Louisville,0
835,2014,Michigan,Tennessee,1
836,2014,Michigan St.,Virginia,0
837,2014,Florida,Dayton,1
838,2014,Wisconsin,Arizona,0
839,2014,Connecticut,Michigan St.,0
840,2014,Kentucky,Michigan,0
841,2014,Connecticut,Florida,0
842,2014,Kentucky,Wisconsin,0
843,2014,Connecticut,Kentucky,1
844,2015,Hampton,Manhattan,0
845,2015,Mississippi,BYU,0
846,2015,Dayton,Boise St.,1
847,2015,Robert Morris,North Florida,0
848,2015,Arizona,Texas Southern,1
849,2015,Arkansas,Wofford,1
850,2015,Butler,Texas,1
851,2015,Cincinnati,Purdue,1
852,2015,Georgetown,Eastern Washington,1
853,2015,Georgia St.,Baylor,0
854,2015,Kentucky,Hampton,1
855,2015,North Carolina St.,LSU,1
856,2015,North Carolina,Harvard,1
857,2015,Notre Dame,Northeastern,1
858,2015,Ohio St.,VCU,0
859,2015,UAB,Iowa St.,0
860,2015,UCLA,SMU,0
861,2015,Utah,Stephen F. Austin,1
862,2015,Villanova,Lafayette,1
863,2015,Xavier,Mississippi,1
864,2015,Dayton,Providence,0
865,2015,Duke,Robert Morris,1
866,2015,Gonzaga,North Dakota St.,1
867,2015,Iowa,Davidson,1
868,2015,Kansas,New Mexico St.,1
869,2015,Louisville,UC Irvine,1
870,2015,Maryland,Valparaiso,1
871,2015,Michigan St.,Georgia,1
872,2015,Northern Iowa,Wyoming,1
873,2015,Oklahoma,Albany,1
874,2015,Oregon,Oklahoma St.,1
875,2015,San Diego St.,St. John's,1
876,2015,Virginia,Belmont,1
877,2015,West Virginia,Buffalo,1
878,2015,Wichita St.,Indiana,1
879,2015,Wisconsin,Coastal Carolina,1
880,2015,Arizona,Ohio St.,1
881,2015,Kentucky,Cincinnati,1
882,2015,North Carolina St.,Villanova,0
883,2015,North Carolina,Arkansas,1
884,2015,Notre Dame,Butler,1
885,2015,UCLA,UAB,1
886,2015,Utah,Georgetown,0
887,2015,Xavier,Georgia St.,1
888,2015,Duke,San Diego St.,1
889,2015,Gonzaga,Iowa,1
890,2015,Louisville,Northern Iowa,1
891,2015,Michigan St.,Virginia,0
892,2015,Oklahoma,Dayton,1
893,2015,West Virginia,Maryland,0
894,2015,Wichita St.,Kansas,0
895,2015,Wisconsin,Oregon,1
896,2015,Arizona,Xavier,1
897,2015,Kentucky,West Virginia,1
898,2015,Notre Dame,Wichita St.,1
899,2015,Wisconsin,North Carolina,1
900,2015,Duke,Utah,1
901,2015,Gonzaga,UCLA,1
902,2015,Louisville,North Carolina St.,1
903,2015,Michigan St.,Oklahoma,0
904,2015,Kentucky,Notre Dame,1
905,2015,Wisconsin,Arizona,1
906,2015,Duke,Gonzaga,1
907,2015,Michigan St.,Louisville,0
908,2015,Duke,Michigan St.,1
909,2015,Wisconsin,Kentucky,0
910,2015,Duke,Wisconsin,0
911,2016,Florida Gulf Coast,Fairleigh Dickinson,1
912,2016,Wichita St.,Vanderbilt,1
913,2016,Holy Cross,Southern,0
914,2016,Michigan,Tulsa,1
915,2016,Arkansas Little Rock,Purdue,0
916,2016,Butler,Texas Tech,0
917,2016,Connecticut,Colorado,0
918,2016,Duke,UNC Wilmington,1
919,2016,Gonzaga,Seton Hall,0
920,2016,Indiana,Chattanooga,1
921,2016,Iowa St.,Iona,1
922,2016,Kansas,Austin Peay,1
923,2016,Kentucky,Stony Brook,1
924,2016,Miami FL,Buffalo,1
925,2016,North Carolina,Florida Gulf Coast,1
926,2016,Providence,USC,0
927,2016,Utah,Fresno St.,1
928,2016,Virginia,Hampton,1
929,2016,Wichita St.,Arizona,0
930,2016,Yale,Baylor,0
931,2016,Hawaii,California,0
932,2016,Iowa,Temple,1
933,2016,Maryland,South Dakota St.,1
934,2016,Middle Tennessee,Michigan St.,0
935,2016,Northern Iowa,Texas,0
936,2016,Notre Dame,Michigan,1
937,2016,Oklahoma,Cal St. Bakersfield,1
938,2016,Oregon,Holy Cross,1
939,2016,Stephen F. Austin,West Virginia,0
940,2016,Saint Joseph's,Cincinnati,1
941,2016,Syracuse,Dayton,0
942,2016,Texas A&M;,Green Bay,1
943,2016,VCU,Oregon St.,0
944,2016,Villanova,UNC Asheville,1
945,2016,Wisconsin,Pittsburgh,1
946,2016,Xavier,Weber St.,1
947,2016,Duke,Yale,1
948,2016,Gonzaga,Utah,0
949,2016,Indiana,Kentucky,0
950,2016,Iowa St.,Arkansas Little Rock,1
951,2016,Kansas,Connecticut,1
952,2016,Miami FL,Wichita St.,1
953,2016,North Carolina,Providence,1
954,2016,Virginia,Butler,1
955,2016,Maryland,Hawaii,1
956,2016,Notre Dame,Stephen F. Austin,1
957,2016,Oklahoma,VCU,1
958,2016,Oregon,Saint Joseph's,1
959,2016,Syracuse,Middle Tennessee,1
960,2016,Texas A&M;,Northern Iowa,1
961,2016,Villanova,Iowa,1
962,2016,Wisconsin,Xavier,0
963,2016,Kansas,Maryland,1
964,2016,Oklahoma,Texas A&M;,1
965,2016,Oregon,Duke,1
966,2016,Villanova,Miami FL,1
967,2016,North Carolina,Indiana,1
968,2016,Notre Dame,Wisconsin,1
969,2016,Syracuse,Gonzaga,1
970,2016,Virginia,Iowa St.,1
971,2016,Oklahoma,Oregon,0
972,2016,Villanova,Kansas,0
973,2016,North Carolina,Notre Dame,1
974,2016,Syracuse,Virginia,0
975,2016,North Carolina,Syracuse,1
976,2016,Villanova,Oklahoma,1
977,2016,Villanova,North Carolina,0
